epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,346.126,1.23668,2.29148,1.63054,0.57271,0.37102,0.45639,0.22011,1.42173,3.2448,2.58203,0.000654088,0.000654088,0.000654088
2,677.6,1.38367,1.89813,1.70294,0.22355,0.26786,0.20237,0.08065,1.84851,3.56308,2.9801,0.0012946,0.0012946,0.0012946
3,993.709,1.53729,1.91768,1.82882,0.22091,0.22321,0.11547,0.03356,2.56612,5.55377,3.59634,0.00190872,0.00190872,0.00190872
4,1334.33,1.50933,1.80038,1.82081,0.36995,0.33036,0.24014,0.07518,2.59278,2.45857,4.35295,0.0018812,0.0018812,0.0018812
5,1721.38,1.48057,1.69386,1.79468,0.65314,0.46429,0.54167,0.24443,1.90238,2.22999,3.02596,0.0018416,0.0018416,0.0018416
6,2110.28,1.45849,1.56841,1.76241,0.28929,0.42857,0.27584,0.10315,1.98235,2.3903,2.70053,0.001802,0.001802,0.001802
7,2497.71,1.42941,1.52915,1.73143,0.57413,0.52679,0.56281,0.28506,1.82523,1.89552,2.42354,0.0017624,0.0017624,0.0017624
