epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,808.728,1.52934,3.36219,1.79926,0.20186,0.1246,0.08176,0.02888,2.21509,4.44392,2.29019,0.000472553,0.000472553,0.000472553
2,1662.96,1.65483,2.98982,1.9235,0.05344,0.10305,0.03445,0.01058,2.61562,5.60595,2.90895,0.000930098,0.000930098,0.000930098
3,2600.49,1.74121,2.86671,2.02503,0.08504,0.18555,0.04329,0.01379,2.37455,4.58826,2.46673,0.00136878,0.00136878,0.00136878
